Player,Age,Team,Pos,G,GS,MP,+/- Per 100 PossOnCourt,+/- Per 100 PossOn-Off,BadPass,LostBall,Fouls Committed_Shoot,Fouls Committed_Off.,Fouls Drawn_Shoot,Fouls Drawn_Off.,PGA,And1,Blkd,playerID
Isaiah Hartenstein,22,TOT,C,46,2,559,0.4,2.5,17,4,47,18,33,7,130,9,14,harteis01
Gorgui Dieng,31,TOT,C,38,1,552,-6.6,-7.4,10,7,32,9,32,3,111,7,7,dienggo01
Thanasis Antetokounmpo,28,MIL,SF,57,3,551,3.3,-2.6,14,9,37,9,25,10,118,6,12,antetth01
Damian Jones,25,TOT,C,39,10,547,-5.4,-4.8,6,6,42,12,28,3,75,6,8,jonesda03
Hassan Whiteside,31,SAC,C,36,4,546,-8.4,-5.7,11,7,38,15,41,3,50,9,17,whiteha01
Wes Iwundu,26,TOT,SF,41,4,539,-7.8,-9.5,9,5,28,1,13,5,42,4,12,iwundwe01
Troy Brown Jr.,21,TOT,SF,34,0,524,1.5,3.1,12,4,23,4,12,4,70,7,7,browntr01
Armoni Brooks,22,HOU,SG,20,5,520,-13.4,-6.2,11,3,20,3,5,0,75,0,6,brookar01
Miye Oni,23,UTA,SG,54,0,519,9,-0.6,10,3,24,1,2,2,79,0,3,onimi01
Oshae Brissett,22,IND,SF,21,16,519,5.5,6.6,2,6,26,1,32,2,47,5,6,brissos01
Dylan Windler,24,CLE,SF,31,0,513,-5.4,3.6,21,7,20,2,11,2,80,2,7,windldy01
Max Strus,24,MIA,SF,39,0,507,-4.9,-5.8,1,3,22,1,10,8,58,3,1,strusma01
Justise Winslow,24,MEM,SF,26,1,507,-5.4,-7.9,18,10,21,4,15,5,116,1,6,winslju01
Lamar Stevens,23,CLE,PF,40,0,499,-8.4,0,12,8,38,0,22,2,63,3,12,stevela01
Jarrett Culver,21,MIN,SG,34,7,499,-11,-6.5,11,8,35,3,21,5,61,2,16,culveja01
DaQuan Jeffries,23,TOT,SG,31,5,493,-5.3,0.7,7,2,28,2,5,5,56,2,8,jeffrda01
Chimezie Metu,23,SAC,C,36,6,488,-6,-2.8,11,7,35,9,19,2,68,2,11,metuch01
Javonte Green,27,TOT,SF,41,2,473,3.1,2.5,12,4,20,2,20,3,41,5,5,greenja02
Kevin Knox,21,NYK,SF,42,0,464,-2.9,-6.2,7,3,25,2,12,2,46,4,6,knoxke01
Ryan Arcidiacono,26,CHI,PG,44,0,450,0.9,1.9,6,2,17,2,9,19,130,4,3,arcidry01
