Player,Age,Team,Pos,G,GS,MP,FG%,%FGA from 2P,%FGA from 0-3,%FGA from 3-10,%FGA from 10-16,%FGA from 16-3P,%FGA from 3P,FG% from 2P,FG% from 0-3,FG% from 3-10,FG% from 10-16,FG% from 16-3P,FG% from 3P,%of 2PFG assisted,%of 3PFG assisted,%FGA from dunks,# of made dunks,%3PA form the corner,3P% from the corner,playerID
Jabari Smith Jr.,20,HOU,PF,76,76,2424,0.454,0.544,0.187,0.14,0.142,0.074,0.456,0.53,0.686,0.479,0.458,0.371,0.363,0.617,0.949,0.066,46,0.182,0.464,smithja05
Stephen Curry,35,GSW,PG,74,74,2421,0.45,0.394,0.074,0.173,0.065,0.082,0.606,0.515,0.692,0.508,0.426,0.441,0.408,0.399,0.611,0,0,0.08,0.557,curryst01
Bam Adebayo,26,MIA,C,71,71,2416,0.521,0.959,0.245,0.367,0.278,0.069,0.041,0.528,0.727,0.515,0.406,0.386,0.357,0.573,1,0.148,134,0.167,0.429,adebaba01
Chet Holmgren,21,OKC,C,82,82,2413,0.53,0.634,0.296,0.208,0.093,0.037,0.366,0.623,0.77,0.535,0.461,0.343,0.37,0.652,0.977,0.156,137,0.106,0.324,holmgch01
Brook Lopez,35,MIL,C,79,79,2411,0.485,0.465,0.248,0.122,0.077,0.019,0.535,0.621,0.786,0.413,0.431,0.571,0.366,0.739,1,0.058,42,0.141,0.404,lopezbr01
Kentavious Caldwell-Pope,30,DEN,SG,76,76,2402,0.46,0.475,0.177,0.085,0.089,0.124,0.525,0.52,0.615,0.44,0.423,0.507,0.406,0.745,0.944,0.02,12,0.373,0.426,caldwke01
Bogdan Bogdanović,31,ATL,SG,79,33,2401,0.428,0.417,0.123,0.148,0.095,0.051,0.583,0.503,0.563,0.46,0.514,0.464,0.374,0.558,0.863,0.008,7,0.204,0.42,bogdabo01
Brandon Miller,21,CHA,SF,74,68,2383,0.44,0.545,0.141,0.168,0.163,0.073,0.455,0.495,0.673,0.412,0.426,0.494,0.373,0.493,0.908,0.039,39,0.181,0.393,millebr02
Harrison Barnes,31,SAC,PF,82,82,2381,0.474,0.474,0.182,0.223,0.052,0.018,0.526,0.571,0.684,0.515,0.421,0.538,0.387,0.631,0.966,0.034,21,0.421,0.42,barneha02
Derrick White,29,BOS,SG,73,73,2381,0.461,0.41,0.114,0.192,0.08,0.024,0.59,0.555,0.771,0.509,0.373,0.5,0.396,0.419,0.801,0.015,13,0.202,0.42,whitede01
Tobias Harris,31,PHI,PF,70,70,2368,0.487,0.729,0.268,0.251,0.14,0.069,0.271,0.537,0.686,0.431,0.511,0.394,0.353,0.444,0.956,0.043,39,0.26,0.403,harrito02
Donte DiVincenzo,27,NYK,SG,81,63,2360,0.443,0.298,0.178,0.081,0.027,0.012,0.702,0.542,0.603,0.407,0.556,0.5,0.401,0.636,0.919,0.025,20,0.251,0.446,divindo01
Jordan Poole,24,WAS,SG,78,66,2346,0.413,0.524,0.156,0.18,0.116,0.073,0.476,0.492,0.714,0.394,0.387,0.425,0.326,0.408,0.668,0.008,9,0.108,0.344,poolejo01
Jaylen Brown,27,BOS,SF,70,70,2343,0.499,0.674,0.247,0.237,0.119,0.07,0.326,0.57,0.723,0.487,0.52,0.398,0.354,0.429,0.634,0.075,76,0.205,0.381,brownja02
Malik Beasley,27,MIL,SG,79,77,2337,0.443,0.249,0.073,0.1,0.04,0.036,0.751,0.533,0.736,0.472,0.414,0.423,0.413,0.688,0.951,0.008,5,0.399,0.472,beaslma01
Franz Wagner,22,ORL,SF,72,72,2337,0.482,0.695,0.315,0.32,0.039,0.022,0.305,0.57,0.716,0.459,0.442,0.292,0.281,0.419,0.787,0.06,65,0.12,0.225,wagnefr01
Kawhi Leonard,32,LAC,SF,68,68,2330,0.525,0.711,0.168,0.2,0.246,0.097,0.289,0.569,0.79,0.539,0.5,0.425,0.417,0.451,0.657,0.072,76,0.193,0.446,leonaka01
Herbert Jones,25,NOP,SF,76,76,2321,0.498,0.536,0.311,0.162,0.022,0.041,0.464,0.568,0.705,0.389,0.231,0.417,0.418,0.609,0.965,0.07,39,0.527,0.479,joneshe01
Aaron Gordon,28,DEN,PF,73,73,2297,0.556,0.807,0.554,0.183,0.053,0.017,0.193,0.619,0.738,0.382,0.263,0.417,0.29,0.642,0.85,0.256,171,0.391,0.352,gordoaa01
Klay Thompson,33,GSW,SF,77,63,2284,0.432,0.389,0.051,0.108,0.107,0.124,0.611,0.503,0.724,0.484,0.463,0.464,0.387,0.721,0.937,0.002,2,0.132,0.396,thompkl01
Kyle Kuzma,28,WAS,PF,70,70,2281,0.463,0.657,0.206,0.272,0.117,0.062,0.343,0.53,0.789,0.451,0.357,0.341,0.336,0.538,0.788,0.046,57,0.222,0.41,kuzmaky01
Jrue Holiday,33,BOS,PG,69,69,2263,0.48,0.533,0.163,0.219,0.099,0.052,0.467,0.526,0.688,0.49,0.397,0.417,0.429,0.461,0.754,0.01,5,0.261,0.619,holidjr01
Deni Avdija,23,WAS,SF,75,75,2257,0.506,0.707,0.336,0.298,0.044,0.03,0.293,0.56,0.737,0.427,0.171,0.458,0.374,0.569,0.852,0.057,42,0.272,0.484,avdijde01
Devin Vassell,23,SAS,SG,68,62,2248,0.472,0.578,0.163,0.126,0.159,0.13,0.422,0.544,0.715,0.511,0.548,0.358,0.372,0.602,0.837,0.05,49,0.188,0.512,vassede01
Luguentz Dort,24,OKC,SF,79,79,2246,0.438,0.397,0.212,0.096,0.05,0.04,0.603,0.506,0.612,0.397,0.424,0.308,0.394,0.636,0.994,0.041,23,0.278,0.409,dortlu01
Max Strus,27,CLE,SF,70,70,2239,0.418,0.342,0.238,0.078,0.016,0.01,0.658,0.546,0.607,0.351,0.667,0.429,0.351,0.684,0.964,0.036,22,0.23,0.336,strusma01
Dillon Brooks,28,HOU,SF,72,72,2227,0.428,0.518,0.173,0.228,0.083,0.034,0.482,0.492,0.707,0.36,0.422,0.462,0.359,0.587,0.962,0.021,14,0.154,0.421,brookdi01
