Player,Age,Team,Pos,G,GS,MP,+/- Per 100 Poss_OnCourt,+/- Per 100 Poss_On-Off,BadPass,LostBall,Fouls Committed_Shoot,Fouls Committed_Off.,Fouls Drawn_Shoot,Fouls Drawn_Off.,PGA,And1,Blkd,playerID
Gui Santos,21,GSW,PF,23,0,192,4.4,1.7,5,1,18,0,8,0,32,1,4,santogu01
Terry Taylor,24,CHI,PF,31,0,188,4.3,6,2,2,10,2,3,0,26,1,2,taylote01
Micah Potter,25,UTA,PF,16,0,186,-7.8,-3.1,3,0,7,2,4,0,13,2,1,pottemi01
Saben Lee,24,PHX,PG,24,0,185,5.2,2.1,4,0,7,1,19,2,70,1,7,leesa01
Otto Porter Jr.,30,TOR,SF,15,1,174,4.2,11.1,1,0,11,1,2,0,18,1,2,porteot01
AJ Griffin,20,ATL,SF,20,0,171,-13.7,-12,4,3,3,0,1,0,13,0,3,griffaj01
Joe Harris,32,DET,SG,16,0,170,-13.8,-5.1,3,0,9,1,1,2,24,0,4,harrijo01
Trevelin Queen,26,ORL,SG,14,0,165,0.6,-1.2,5,2,8,0,6,1,48,2,0,queentr01
Zavier Simpson,26,MEM,PG,7,0,161,-9.4,-2.2,8,2,8,0,2,0,63,0,7,simpsza01
Thanasis Antetokounmpo,31,MIL,PF,34,0,155,-11.8,-15.1,4,5,11,1,1,1,44,0,3,antetth01
Tristan Vukcevic,20,WAS,C,10,4,153,10.7,20.8,4,2,16,2,12,1,31,4,3,vukcetr01
Darius Bazley,23,TOT,PF,9,0,152,-8.4,-4.2,3,4,2,0,6,0,19,2,4,bazleda01
DeJon Jarreau,26,MEM,SG,9,0,150,-5.7,1.7,7,1,4,0,5,1,60,1,1,jarrede01
