Player,Age,Team,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlayerID
Tyus Jones,23,MEM,PG,65,6,1232,197,429,47,124,150,305,0.514,43,58,9,94,103,285,59,6,55,44,484,jonesty01
Aron Baynes,33,PHX,C,42,28,934,183,381,59,168,124,213,0.558,56,75,71,166,237,67,10,23,50,141,481,baynear01
Tony Snell,28,DET,SF,59,57,1641,170,382,102,254,68,128,0.579,32,32,9,102,111,127,32,15,31,101,474,snellto01
Jaxson Hayes,19,NOP,C,64,14,1080,174,259,1,4,173,255,0.674,123,190,97,162,259,56,26,55,53,161,472,hayesja02
Enes Freedom,27,BOS,C,58,7,983,199,348,1,7,198,341,0.573,70,99,163,268,431,56,22,41,56,100,469,kanteen01
Jalen Brunson,23,DAL,PG,57,16,1022,181,388,43,120,138,268,0.522,61,75,22,112,134,188,22,4,66,74,466,brunsja01
E'Twaun Moore,30,NOP,SG,56,6,1020,186,437,63,167,123,270,0.498,31,45,31,100,131,78,32,11,40,80,466,mooreet01
DeAndre Jordan,31,BKN,C,56,6,1234,191,287,0,0,191,287,0.666,83,122,141,420,561,105,18,52,74,114,465,jordade01
T.J. McConnell,27,IND,PG,71,3,1326,212,411,5,17,207,394,0.522,35,42,38,151,189,355,56,11,100,73,464,mccontj01
Gorgui Dieng,30,TOT,C,63,17,1096,166,364,54,152,112,212,0.53,78,101,91,263,354,73,51,59,60,124,464,dienggo01
Derrick Favors,28,NOP,C,51,49,1243,209,339,1,7,208,332,0.618,40,71,163,338,501,81,30,46,55,107,459,favorde01
Cory Joseph,28,SAC,PG,72,26,1759,171,412,56,159,115,253,0.483,60,70,44,144,188,251,53,21,80,133,458,josepco01
De'Anthony Melton,21,MEM,PG,60,8,1167,161,401,40,140,121,261,0.451,93,121,43,177,220,175,77,20,84,109,455,meltode01
James Ennis III,29,TOT,SG,69,18,1265,160,359,55,169,105,190,0.522,79,98,71,174,245,63,35,22,58,137,454,ennisja01
Jeff Green,33,TOT,C,48,4,960,159,344,62,183,97,161,0.552,73,91,24,109,133,50,26,19,42,89,453,greenje02
Royce O'Neale,26,UTA,SF,71,62,2049,158,365,92,244,66,121,0.559,42,55,27,362,389,180,59,32,61,202,450,onealro01
Nerlens Noel,25,OKC,C,61,7,1127,184,269,1,3,183,266,0.686,80,106,91,209,300,57,59,91,66,166,449,noelne01
Elfrid Payton,25,NYK,PG,45,36,1246,193,440,14,69,179,371,0.455,49,86,52,160,212,323,70,17,96,89,449,paytoel01
JaVale McGee,32,LAL,C,68,68,1130,195,306,3,6,192,300,0.642,53,82,125,265,390,37,36,94,55,159,446,mcgeeja01
Luke Kennard,23,DET,SG,28,25,922,151,342,73,183,78,159,0.548,67,75,9,89,98,115,12,6,43,65,442,kennalu01
Alex Len,26,TOT,C,55,12,970,177,319,16,59,161,260,0.58,68,105,100,221,321,50,23,48,55,127,438,lenal01
Mason Plumlee,29,DEN,C,61,1,1057,177,288,0,5,177,283,0.615,83,155,98,219,317,154,33,38,82,143,437,plumlma01
JaMychal Green,29,LAC,PF,63,1,1307,151,352,92,238,59,114,0.56,36,48,77,311,388,49,29,24,54,174,430,greenja01
Jordan McRae,28,TOT,SG,37,4,784,149,366,45,126,104,240,0.469,83,109,18,106,124,93,21,16,43,73,426,mcraejo01
Avery Bradley,29,LAL,SG,49,44,1186,170,383,63,173,107,210,0.526,20,24,18,97,115,63,43,5,47,110,423,bradlav01
Trevor Ariza,34,TOT,SF,53,21,1493,142,324,77,207,65,117,0.557,62,74,34,212,246,91,69,15,56,111,423,arizatr01
Kevin Knox,20,NYK,SF,65,4,1166,144,401,65,199,79,202,0.44,66,101,28,156,184,61,23,28,45,106,419,knoxke01
Rondae Hollis-Jefferson,25,TOR,PF,60,6,1122,155,329,3,23,152,306,0.476,105,143,110,173,283,106,46,23,59,115,418,holliro01
Ersan İlyasova,32,MIL,PF,63,8,986,146,313,50,137,96,176,0.546,72,87,62,240,302,49,24,17,34,95,414,ilyaser01
Chris Boucher,27,TOR,C,62,0,819,141,299,38,118,103,181,0.535,91,116,107,170,277,26,22,61,28,114,411,bouchch01
Mike Scott,31,PHI,PF,68,11,1207,149,350,80,217,69,133,0.54,30,37,65,183,248,56,21,5,26,96,408,scottmi01
