Player,Age,Team,Pos,G,GS,MP,+/- Per 100 Poss_OnCourt,+/- Per 100 Poss_On-Off,BadPass,LostBall,Fouls Committed_Shoot,Fouls Committed_Off., Fouls Drawn_Shoot,Fouls Drawn_Off.,PGA,And1,Blkd,playerID
Cole Anthony,24,ORL,PG,67,22,1234,-2,-2.2,60,27,68,4,49,10,457,13,14,anthoco01
Ben Sheppard,23,IND,SG,63,9,1228,-1.3,-5.3,12,5,85,1,11,12,195,3,13,sheppbe01
Daniel Gafford,26,DAL,C,57,31,1226,0.9,3,18,22,92,18,92,4,186,26,30,gaffoda01
John Collins,27,UTA,PF,40,31,1220,-0.3,12.8,36,34,60,21,83,3,198,23,54,collijo01
Caleb Martin,29,TOT,SF,45,24,1218,-6.3,-1.1,13,26,37,7,40,15,238,6,15,martica02
Kristaps Porziņģis,29,BOS,C,42,42,1210,5.7,-4.9,16,14,65,16,89,3,230,14,23,porzikr01
Brandon Clarke,28,MEM,PF,64,18,1207,8.7,5.5,14,13,87,8,51,6,160,23,22,clarkbr01
Deandre Ayton,26,POR,C,40,40,1206,-6.8,-5.1,21,25,56,10,26,2,159,7,15,aytonde01
Jarace Walker,21,IND,PF,75,5,1187,-5.4,-11,42,23,60,6,34,4,263,10,10,walkeja02
Kawhi Leonard,33,LAC,SF,37,37,1180,12.7,11.5,28,32,23,6,57,0,280,14,11,leonaka01
Clint Capela,30,ATL,C,55,41,1176,-3.1,-2.6,17,9,59,10,49,10,146,11,36,capelca01
Cody Martin,29,TOT,SF,53,8,1173,-3.1,7.1,28,16,49,1,25,15,265,2,15,martico01
Mark Williams,23,CHA,C,44,41,1171,-13.1,-5.3,27,23,60,15,87,3,276,25,25,willima07
Precious Achiuwa,25,NYK,C,57,10,1170,-0.9,-7.2,15,16,53,10,36,2,129,9,24,achiupr01
Nikola Jović,21,MIA,PF,46,10,1156,-1.3,-2.7,29,14,47,7,43,3,316,10,12,jovicni01
Justin Edwards,21,PHI,SF,44,26,1155,-12.1,-8,19,22,58,1,20,4,163,2,25,edwarju01
Vít Krejčí,24,ATL,PG,57,16,1153,-2.5,-1.8,30,14,55,0,21,4,358,3,8,krejcvi01
Jonathan Kuminga,22,GSW,PF,47,10,1144,0.7,-3.9,34,24,39,9,113,4,266,11,48,kuminjo01
Kevon Looney,28,GSW,C,76,6,1142,5.9,3.4,13,9,86,15,44,3,299,12,17,looneke01
Kenrich Williams,30,OKC,PF,69,7,1132,15.1,2.8,16,14,53,2,20,17,237,7,22,willike04
Julian Phillips,21,CHI,SF,79,5,1123,1.9,4.4,9,9,53,1,35,5,100,10,17,phillju01
Aaron Nesmith,25,IND,SF,45,37,1123,9.1,9.3,16,10,63,8,35,16,126,14,22,nesmiaa01
Dalano Banton,25,POR,PG,67,7,1120,-2.8,0.6,49,25,34,4,62,3,388,15,35,bantoda01
