Player,Age,Team,Pos,G,GS,MP,TRB,AST,PTS,playerID
McKinley Wright IV,24,DAL,PG,27,1,12.4,1.7,2.1,4.2,wrighmc01
Matisse Thybulle,25,TOT,SG,71,28,16.9,2,0.7,4.1,thybuma01
Blake Griffin,33,BOS,C,41,16,13.9,3.8,1.5,4.1,griffbl01
Kevon Harris,25,ORL,SG,34,0,13.4,2.1,0.5,4.1,harrike01
Serge Ibaka,33,MIL,C,16,0,11.6,2.8,0.3,4.1,ibakase01
Isaiah Roby,24,SAS,PF,42,2,11.3,2.5,0.9,4.1,robyis01
Daishen Nix,20,HOU,PG,57,7,16,1.7,2.3,4,nixda01
Olivier Sarr,23,OKC,C,9,1,12.7,3.4,0.4,4,sarrol01
Bruno Fernando,24,TOT,C,39,4,10.4,3.5,0.8,3.9,fernabr01
Patrick Baldwin Jr.,20,GSW,SF,31,0,7.3,1.3,0.4,3.9,baldwpa01
Dominick Barlow,19,SAS,PF,28,0,14.6,3.6,0.9,3.9,barlodo01
Gorgui Dieng,33,SAS,C,31,1,11.5,3.5,1.7,3.9,dienggo01
Udonis Haslem,42,MIA,C,7,1,10.1,1.6,0,3.9,hasleud01
Aaron Holiday,26,ATL,PG,63,6,13.4,1.2,1.4,3.9,holidaa01
Jabari Walker,20,POR,PF,56,0,11.1,2.3,0.6,3.9,walkeja01
Markieff Morris,33,TOT,PF,35,2,10.1,2,0.9,3.8,morrima02
Xavier Cooks,27,WAS,PF,10,1,12.6,3.8,0.6,3.8,cooksxa01
Dyson Daniels,19,NOP,PG,59,11,17.7,3.2,2.3,3.8,daniedy01
Darius Days,23,HOU,SF,4,0,6.3,1.5,0.3,3.8,daysda01
Caleb Houstan,20,ORL,SF,51,4,15.9,1.9,0.6,3.8,houstca01
Furkan Korkmaz,25,PHI,SG,37,0,9.5,1.1,0.6,3.8,korkmfu01
Luke Kornet,27,BOS,C,69,0,11.7,2.9,0.8,3.8,kornelu01
JT Thor,20,CHA,PF,69,8,14,2.2,0.5,3.8,thorjt01
A.J. Lawson,22,TOT,SG,15,0,7.2,1.4,0.1,3.7,lawsoaj01
David Duke Jr.,23,BKN,SG,23,0,9.9,1.3,0.9,3.7,dukeda01
Nathan Knight,25,MIN,C,38,0,7.7,1.5,0.3,3.7,knighna01
Jordan McLaughlin,26,MIN,PG,43,0,15.8,1.4,3.4,3.7,mclaujo01
