Player,Age,Team,Pos,G,GS,MP,FG%,%of FGA from 2P,%of FGA from 0-3,%of FGA from 3-10,%of FGA from 10-16,%of FGA from 16-3P,%of FGA from 3P,FG% on 2P,FG% on  0-3,FG% on  3-10,FG% on  10-16,FG% on  16-3P,FG% on  3P,% of 2PFG assisted,% of 3PFG assited,%FGA that are dunks,# of made dunks,%3PA from the corner,3P% from the corner,playerID
Darius Bazley,22,TOT,C,43,1,616,0.454,0.71,0.448,0.175,0.071,0.016,0.29,0.485,0.598,0.281,0.385,0,0.377,0.794,0.95,0.186,30,0.358,0.474,bazleda01
Juancho Hernangómez,27,TOR,PF,42,10,614,0.421,0.412,0.289,0.105,0,0.018,0.588,0.66,0.727,0.583,0,0,0.254,0.677,1,0.018,2,0.418,0.321,hernaju01
Jaxson Hayes,22,NOP,C,47,2,610,0.551,0.814,0.41,0.353,0.006,0.013,0.186,0.654,0.766,0.527,1,0.5,0.103,0.747,1,0.308,44,0.414,0.167,hayesja02
Frank Ntilikina,24,DAL,SG,47,5,607,0.364,0.492,0.144,0.159,0.091,0.098,0.508,0.477,0.579,0.238,0.417,0.769,0.254,0.581,0.941,0,0,0.343,0.13,ntilila01
DeAndre Jordan,34,DEN,C,39,8,586,0.765,0.991,0.8,0.174,0.009,0.009,0.009,0.763,0.837,0.45,1,0,1,0.759,1,0.565,60,0,0,jordade01
Blake Griffin,33,BOS,C,41,16,569,0.485,0.492,0.308,0.162,0.008,0,0.508,0.625,0.675,0.524,0,0,0.348,0.725,1,0.062,8,0.318,0.333,griffbl01
Ousmane Dieng,19,OKC,PF,39,1,569,0.42,0.459,0.21,0.188,0.033,0.028,0.541,0.602,0.789,0.5,0.167,0.4,0.265,0.78,0.962,0.099,17,0.265,0.308,diengou01
Kris Dunn,28,UTA,PG,22,3,568,0.537,0.833,0.139,0.583,0.102,0.009,0.167,0.55,0.767,0.524,0.409,0.5,0.472,0.162,0.824,0.023,4,0.139,0.4,dunnkr01
Patty Mills,34,BKN,PG,40,2,567,0.411,0.359,0.062,0.057,0.077,0.163,0.641,0.493,0.769,0.5,0.25,0.5,0.366,0.568,0.857,0,0,0.254,0.382,millspa02
Ricky Rubio,32,CLE,PG,33,2,566,0.343,0.539,0.152,0.09,0.242,0.051,0.461,0.417,0.407,0.188,0.488,0.444,0.256,0.35,0.952,0,0,0.439,0.306,rubiori01
Ziaire Williams,21,MEM,SF,37,4,561,0.429,0.505,0.25,0.107,0.102,0.046,0.495,0.596,0.776,0.381,0.5,0.333,0.258,0.78,0.88,0.128,21,0.433,0.286,willizi02
Day'Ron Sharpe,21,BKN,C,48,3,552,0.544,0.936,0.684,0.228,0.018,0.006,0.064,0.544,0.641,0.282,0.333,0,0.545,0.632,0.833,0.228,32,0.091,0,sharpda01
Kai Jones,22,CHA,C,46,0,550,0.558,0.842,0.508,0.242,0.058,0.033,0.158,0.624,0.836,0.31,0.429,0,0.211,0.619,1,0.408,44,0.421,0.25,joneska01
Lindy Waters III,25,OKC,SG,41,0,531,0.393,0.09,0.062,0.011,0.011,0.006,0.91,0.75,0.727,0.5,1,1,0.358,0.583,0.931,0,0,0.185,0.5,waterli01
Rodney McGruder,31,DET,SG,32,12,524,0.408,0.362,0.125,0.158,0.072,0.007,0.638,0.382,0.737,0.167,0.273,0,0.423,0.667,0.951,0.007,1,0.443,0.372,mcgruro01
Chuma Okeke,24,ORL,SF,27,8,518,0.352,0.295,0.164,0.057,0.049,0.025,0.705,0.472,0.7,0.143,0.167,0.333,0.302,0.588,0.923,0.049,4,0.198,0.471,okekech01
James Bouknight,22,CHA,SG,34,0,515,0.358,0.435,0.166,0.14,0.083,0.047,0.565,0.429,0.594,0.259,0.313,0.556,0.303,0.5,0.697,0.016,2,0.156,0.353,bouknja01
Max Christie,19,LAL,SG,41,3,512,0.415,0.415,0.113,0.132,0.085,0.085,0.585,0.409,0.417,0.429,0.333,0.444,0.419,0.556,0.962,0.038,3,0.435,0.37,chrisma02
Charles Bassey,22,SAS,C,35,2,508,0.644,0.941,0.548,0.267,0.096,0.03,0.059,0.661,0.757,0.556,0.462,0.5,0.375,0.643,0.667,0.178,22,0.25,0,bassech01
Raul Neto,30,CLE,PG,48,1,505,0.518,0.618,0.345,0.155,0.082,0.036,0.382,0.662,0.711,0.471,1,0.25,0.286,0.444,0.917,0,0,0.19,0.625,netora01
Dāvis Bertāns,30,DAL,PF,45,1,492,0.431,0.119,0.081,0.025,0.006,0.006,0.881,0.737,0.769,0.5,1,1,0.39,0.929,0.982,0.031,4,0.22,0.452,bertada01
Taj Gibson,37,WAS,C,49,2,480,0.52,0.808,0.288,0.28,0.144,0.096,0.192,0.564,0.806,0.429,0.5,0.333,0.333,0.667,1,0.064,8,0.458,0.455,gibsota01
Javonte Green,29,CHI,SF,32,1,480,0.565,0.676,0.481,0.185,0,0.009,0.324,0.658,0.75,0.45,0,0,0.371,0.667,1,0.222,24,0.457,0.313,greenja02
Damian Jones,27,TOT,C,41,1,477,0.64,0.802,0.593,0.186,0.012,0.012,0.198,0.652,0.706,0.5,0,1,0.588,0.733,0.9,0.302,21,0.765,0.692,jonesda03
Isaiah Roby,24,SAS,PF,42,2,474,0.432,0.613,0.265,0.277,0.026,0.045,0.387,0.516,0.707,0.395,0.25,0.286,0.3,0.612,1,0.084,12,0.183,0.364,robyis01
Stanley Johnson,26,SAS,SF,30,0,469,0.533,0.672,0.262,0.287,0.098,0.025,0.328,0.573,0.688,0.514,0.417,0.667,0.45,0.468,0.944,0.016,2,0.35,0.571,johnsst04
